year,album_name,total_minutes
2013,"born to die - the paradise edition",25.72
2013,"inside in / inside out",22.73
2013,gossamer,22.33
2014,"the best of",6.82
2014,"blur: the best of",5.91
2014,"wincing the night away",3.97
2015,"tú y yo",149.35
2015,hozier,111.4
2015,"sticky fingers",73.3
2016,"at folsom prison",330.38
2016,"elvis at sun",284.67
2016,"ultimate sinatra",248.59
2017,"the search for everything",569.22
2017,"born and raised",542.87
2017,"wonderful wonderful",536.74
2018,"the beatles",752.96
2018,"egypt station",643.04
2018,"band on the run",497.72
2019,prismism,738.65
2019,"abbey road",555.84
2019,"band on the run",539.26
2020,"imploding the mirage",1998.77
2020,"the new abnormal",1900.3
2020,"hot fuss",615.65
2021,"pressure machine",1235.81
2021,"when you see yourself",932.76
2021,"the new abnormal",618.94
2022,"nos sobran los motivos",611.36
2022,"the lord of the rings: the fellowship of the ring - the complete recordings",424.08
2022,"pressure machine",414.91
2023,"the beatles",300.35
2023,"blood on the tracks",285.07
2023,"abbey road",266.17
2024,arrival,384.83
2024,"the lord of the rings - the return of the king - the complete recordings",268.62
2024,"born and raised",235.08
