year,track_name,total_minutes
2013,"paper doll",21.43
2013,mirrors,16.72
2013,"young and beautiful",15.01
2014,"little wing",6.82
2014,"sleeping lessons",3.97
2014,florida,3.51
2015,"what do you mean?",61.5
2015,"diez mil maneras",52.49
2015,"old thing back (feat. ja rule and ralph tresvant)",44.57
2016,"not today",90.53
2016,hallelujah,84.81
2016,teenagers,82.13
2017,"in the blood",174.03
2017,"covered in rain - live at the oak mountain amphitheater, birmingham, al - september 2002",145.86
2017,"all these things that i've done",144.04
2018,"desolation row",135.02
2018,"with god on our side",111.55
2018,dominoes,111.22
2019,"mariposa traicionera",153.57
2019,once,152.81
2019,"band on the run - 2010 remaster",145.72
2020,"ode to the mets",671.31
2020,caution,469.35
2020,"dying breed",404.15
2021,"100,000 people",301.17
2021,"the return of the king (feat. sir james galway, viggo mortensen and renee fleming)",273.12
2021,"ode to the mets",262.46
2022,"19 dias y 500 noches - en directo",557.62
2022,"the return of the king (feat. sir james galway, viggo mortensen and renee fleming)",259.46
2022,"noches de boda / y nos dieron las diez - directo luna park",247.45
2023,"you sexy thing",204.43
2023,"billy 4",146.79
2023,"the fellowship reunited (feat. sir james galway, viggo mortensen and renée fleming)",135.4
2024,"the return of the king (feat. sir james galway, viggo mortensen and renee fleming)",194.03
2024,"the fellowship reunited (feat. sir james galway, viggo mortensen and renée fleming)",170.14
2024,"why did it have to be me?",118.25
